"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1491",-0.708,-0.708,0,0,0,0,-0.122,-0.122,0,0,0,-0.697,0.269,0.269,-0.287,-0.287,0,0.25,-0.203,-0.203,0,0,-0.949,-0.949,-0.928,0,0,-0.867,-0.867,-0.72,0.114,0.112,0.112,0.194,0.194,0.116,0.226,0,0.187
"MMRF_1029",0,0,0,0,0.813,0.813,0,0,0,0,0.341,0.341,0,0,0,0,-0.287,0.565,0,0,0.959,0.959,0,0,-0.823,0,0,0,-0.841,0,0,0.328,0.328,1.156,1.156,0,0,0.291,0
"MMRF_1502",0,0.9,0,0,0.972,0.972,0.948,0.948,0,0,0,0,0.979,0.979,0,0,0,0,0,0,0.948,0.948,-0.959,0,-0.987,0,1.872,-0.132,-0.132,-0.128,-0.128,0.971,0.971,0.717,0.717,0,0,0.945,-0.168
"MMRF_1358",0,0,0,0,0.954,0.954,0,0,0.918,0.918,0,0,0,0,0,0,0.976,0.976,0,0,0,0,0,0,0,0,0.983,0,0,0,0,0,0,1.03,1.03,0,0,0,0
"MMRF_1108",0,0,0,0,0,0,0,0,0.97,0.97,0,-0.778,0,0,-0.825,0,0.951,0.951,0,0,0.926,0.926,0,0,0,0,0.947,0,0,0,0,0,0,0.831,0.831,0,0,0.961,0
"MMRF_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1250",0,0.892,0,0,0.941,0.941,0,0,1.86,1.86,0.888,0.888,0.931,0.931,0,0,1.815,1.815,0,0,0.916,0.916,0,0,-0.995,0.909,1.888,0,-0.982,0,0,0,0,0.969,0.969,0,0,0,-0.969
"MMRF_1453",-0.462,1.271,0,0,0,0,0,0,0,0,0.551,0,0.103,0.103,0,0.501,0,0,0,0,0,0,0,-0.915,-0.979,-0.963,0,0,-0.916,-0.707,0,0,0,0,0,0,0,0,0
"MMRF_1462",-0.028,0.325,0,0,0,0,0,0,0,0,0.201,0.201,0,0,0,0,0.295,0.295,0,0,0,0,0,0,-0.94,-0.678,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1501",-0.16,-0.16,0.122,0.122,-0.117,0.661,-0.113,-0.113,0.806,0.806,0.787,0.787,1.055,1.055,-0.127,-0.127,1.134,1.134,-0.151,-0.151,0.754,1.047,-1.048,-1.048,-0.188,-0.135,1.67,-0.194,-0.194,-0.689,0.364,-0.133,-0.133,0.814,0.347,0,0,0.839,-0.239
"MMRF_1499",0,0,0,0,1.852,1.852,0,0,1.774,1.774,0,0,1.842,1.842,0.147,0.668,1.82,1.82,0,0,1.854,1.854,0,0,0,1.804,1.977,0.431,0,-0.34,0,0,0,1.756,1.756,0,0,0,-0.102
"MMRF_1497",0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.606,0,-0.984,-0.969,0,0,0,0,0,0,0,0,0,-0.362,0,0,0
"MMRF_1484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1519",-0.616,0,0,0,0,0,-0.628,-0.628,0,-0.274,0,-0.256,0,0.699,-0.305,-0.305,0.479,0,-0.634,-0.634,0,0,0,0,-1.293,-0.596,0.105,-1.193,-1.193,-0.648,0,-0.627,-0.627,0.526,0.526,0.097,0.228,0,-0.689
"MMRF_1516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
