"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_2149",0,0,0,0,0,0,1.014,1.014,0.999,0.999,0,-0.99,0.977,0.977,0,0,1.939,1.939,0,0,0.973,0.973,0,0,0,0,1.94,0,0,0,0,0,0,0.844,0.844,0,0,0.981,0
"MMRF_2097",0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.993,-0.981,0,0,0,0,0,0,0,0,0,-0.994,0,0,0
"MMRF_2140",0,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.955,0,0,0,0,0,0,0,0,0,0
"MMRF_1755",0,0,0,0,0,0.773,0.782,0.782,0,0,0,-0.746,0.76,0.76,-0.781,0,0.48,0.228,0,0,0.801,1.175,0,0,-0.335,0,0,0,-0.802,-0.791,0,0.769,0.769,0,0,-0.788,0,0,0
"MMRF_2216",0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.989,0.989,0,0,0.957,0.957,0,0,0.948,0,0.958,0,0,0,0,0,0,1.794,1.794,0,0,0,0
"MMRF_2180",0,0,0,0,0,0,0,0,0.899,0.899,0,0,0,0,0,0,1.673,1.673,0,0,0.863,1.488,0,0,0,0,0.932,-0.15,-0.9,0,0,0,0,1.291,1.291,0,0,0.894,0
"MMRF_2213",-0.13,0.61,-0.139,-0.139,0.759,0.759,0.392,0.57,0.705,0.705,1.503,-0.109,0.708,0.708,-0.193,-0.193,0.794,0.794,-0.167,0.619,-0.112,-0.112,-0.146,-0.146,-1.083,-1.032,0.785,-0.106,-0.106,0,0,0.691,0.691,1.017,0.911,0,0,-0.185,0
"MMRF_2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2016",0,0,0,0,0.727,0.727,0.687,0.687,0.727,0.727,0.061,-0.486,0.732,0.732,0,0,0.745,0.745,0,0,0.764,0.764,0,0,0,0,1.536,0.022,-0.512,0,0,0,0,0.771,0.771,0,0,0,0
"MMRF_2013",0,0,0,0,0,0,0,0,0.479,0.479,0.461,0.461,0,0,-0.157,-0.157,0.451,0.451,0,0,0,0,-0.418,-0.418,-0.459,-0.338,0.457,-0.191,-0.191,-0.34,-0.34,0,0,0.398,0.398,-0.239,-0.239,0,-0.493
"MMRF_2039",0.863,0.863,0,0,0,0.854,0,0,0.836,0.836,0,-0.884,0.87,0,-0.872,0,0.838,0.838,0,0,0,0,0,0,-0.85,0,0.852,0,-0.916,0,0,0,0,0.757,0.74,0,0,0,0
"MMRF_2050",0,0.778,0,0,0.797,0.797,0,0,0.788,0.788,0,-0.791,0.788,0.788,-0.651,0,0.874,0.874,0,0,0,0,0,0,0,0,1.589,0,0,0,0,0,0,0.858,0.858,0,0,0.775,0
"MMRF_2068",0,0.557,0,0,0.611,0.611,0,0,1.881,0.565,0.47,0,0.592,0.592,0,0.614,0.569,0.569,0,0,0,0,0,0,0,0,0.585,0,0,0.511,0.511,0.601,0.601,0.426,0.426,0,0,0,-0.127
"MMRF_2089",0,0,-0.523,-0.523,0,0,-0.543,-0.543,0.536,0,0,-0.533,0,0.538,0,0,0.477,0,0,0,0,0,-0.516,-0.516,-1.103,-0.542,1.119,-0.581,-0.581,-0.562,-0.562,0,0,0.899,0.899,-0.502,-0.502,0,-0.544
"MMRF_2102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2170",0.224,1.218,0,0,0,0,-0.978,-0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.989,-0.993,0,-0.931,-0.931,0,0,0,0,0,0,0,0,0,-1.022
"MMRF_2172",0,0.86,0,0,0,0,0,0,0,0,0,-0.94,0,0,0,0,0,0,0,0,0,0,-0.925,0,-0.983,0,0,-0.119,-0.119,0,0,0,0,0,0,0,0,0,0
"MMRF_2173",-0.204,0,0,0,0,0,0,0,0,0,1.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653,0.653,0,0,0,0
"MMRF_2176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.829,-0.829,0.123,0.123,0,0,0,0,0,0,-0.992,0,0,0.111,0.111,0,0,-0.246,-0.246,0,0,0,0,0,0
"MMRF_2174",0.936,0.936,0,0,0.96,0.96,0.929,0.929,0,0,0,0,0,0,-0.963,0,0.95,0.95,0,0,0.963,0.963,0,0,0,0,0,0,-0.942,0,0,0,0,0,0,0,0,0,0
"MMRF_2201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,0,0,0.618,0,0,0,0,0,0.639,0.639,-0.133,-0.133,0,0,0,-0.113
"MMRF_2203",0,0,0,0,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.004,-0.992,0.651,0,0,0,0,0,0,0,0,0,0,0,-1
"MMRF_2214",0,0,0,0,0.987,0.987,0,0,0.99,0.99,0,0,0,0,-0.571,0.425,0.965,0.965,0,0,1.001,1.001,0,0,0,0,2.006,0,0,0,0,0,0,0.963,0.963,0.918,0.918,0,0
"MMRF_2195",0,0,0,0,0,0,0,0,0.809,0.809,0,0,0.796,0.796,0,0,0.827,0.827,0,0,0.785,0.785,-0.551,0,-0.798,0,0.759,-0.862,-0.862,-0.132,-0.132,0,0,0.608,0.608,0,0,0.81,-0.902
"MMRF_2194",0,0,0,0,0.011,0.861,0,0,0,0,0,0,0,0,-0.848,0,0,0,0,0,0,0,0,0,0,-0.819,0,0.66,-0.858,-0.87,0,0,0,0,0,-0.545,0.029,0,-0.166
"MMRF_2197",0,0,0,0,0.717,0.717,0,0,0.522,0.26,0,0,0,0,-0.738,0,0.718,0.718,0,0,0.76,0.76,0,0,-0.205,0,2.219,0,0,0,0,0,0,0.693,0,0,0,0.767,0
"MMRF_2200",-0.813,0,0,0,0,0,-0.709,-0.709,0,0,0,0,0,0,0,0,0,0.763,-0.688,-0.688,0,0,0,0,0,0,0,0,-0.755,0,0,0,0,0.53,-0.115,0,0,0,0
"MMRF_2199",0,0,-0.103,-0.103,0.708,0.708,0.732,0.732,-0.104,-0.104,-0.109,-0.109,0.774,0.774,0.779,0.779,0.718,0.718,0,0,0.921,0.921,-0.104,-0.104,0.17,0,0.837,-0.105,-0.105,0.793,0.793,0.786,0.786,0.81,0.81,0,0,0,0
"MMRF_2204",0,0.839,0,0,0,0,0,0,0.746,0.746,0,0,0.692,0.692,-0.817,0.066,0.825,0.825,0,0,0,0,0,0,-0.459,0,0,0,0,0,0,0,0,0.761,0,-0.73,-0.73,0.364,-0.756
"MMRF_2183",0,0,0,0,0.9,0.9,0,0,0.898,0.898,0.893,0.893,0.87,0.87,0,0,1.335,1.335,0,0,0.927,0.927,0,0,0,0,0.896,0,0,0.263,0.6,0,0,0.934,0.934,0,0,0.907,0
"MMRF_2187",0,0.728,0,0,0.9,0.9,0,0,0.903,0.903,0,0,0.878,0.878,0,0,0.882,0.882,0,0,0.9,0.9,0,0,0,0,1.763,0.711,0,0,0,0,0,1.578,0.8,0,0,1.711,0
"MMRF_2211",-0.919,0,0,0,0,0,-0.752,-0.752,0,0,0,0,0,0.728,-0.913,-0.913,0,0,0,-0.553,0,0,0,0,-1.023,-0.96,0,0,-0.958,0,0.105,0,0,1.11,0,0,0,0,0.152
"MMRF_2217",0,0,0,0,0.98,0.98,0,0,0.962,0.962,0,0,0,0,-0.986,0,1.99,0.962,0,0,0.205,0.205,0,0,-0.473,-0.991,0.977,0,0,0.178,0.178,0,0,0.915,0.915,0,0,0,0
"MMRF_2220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.925,-0.978,0,0,0,-0.979,0,0,0,0,0,0,0,0,0
"MMRF_2230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2231",0,2.627,0,0,0.91,0.91,0,0,0,0,0,0,0,0,0.901,0.901,0,0,0,0,0,0,0,0,-0.908,0,0,0,-0.899,0,0,0,0,0,0,0,0,0,0
"MMRF_2232",0,0.869,0,0,0,0,0,0,0.978,0.978,0,0,0.609,0.609,-0.287,0,0.923,0.923,0,0,0,0,0,0,0,0,0.89,-0.143,-0.143,0,0,0,0,0.71,0.71,0,-0.983,0,0
"MMRF_2250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,-0.269,0,0,0,0,-0.998,0,-0.998,-0.682,0,0,0,0,0,0,0,0,0,0,0,0,-1
"MMRF_2253",2.087,2.087,0,0,0,0,0,0,0,0,0,0,0,0,-0.405,0.413,0.965,0.965,0,0,0,0,0,0,-0.995,-0.126,1.003,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2266",-0.323,0,0,0,0.955,0.955,1.055,1.055,1.021,1.021,1.861,-0.366,0.938,0.938,-1.015,0,0.942,0.942,0,0,0,0,0,0,-0.994,0,1.272,0,0,-0.141,-0.141,0,0,0.684,0.684,-0.118,-0.118,0,-0.129
"MMRF_2168",0,0,0,0,0.947,0.947,0,0,0,0,0,0,0,0,0,0,0.939,0.939,0,0,0.942,0.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957,0
"MMRF_2228",-0.54,-0.54,0,0,0,0,-0.545,-0.545,0,0,-0.532,-0.532,0,0,-0.538,-0.538,0,0,-0.548,-0.548,0.567,0.567,-0.544,-0.544,0,-0.535,0.566,-0.563,-0.563,-0.556,-0.556,0,0,0.491,0.491,0,0,0.526,0
"MMRF_2240",0,1.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102,-0.102,0,0,0,0,-0.133,-0.133,0,0,0,-0.133
"MMRF_2251",0,0,0,0,0,0,0,0,0,0,0,0.872,0,0,0.802,0.802,0,0,0,0,0,1.343,0,0,0,0,0,0,0,-0.912,0,0,0,0.901,0,0,0,0.757,0
"MMRF_2258",0,0,0,0,0.836,0.836,0,0,0.851,0.851,0,0,0,0,0,0,0.905,0.905,0,0,0.958,0.958,0,0,0,0,1.765,0.887,0.887,0,0,0,0,1.725,1.725,0,0,0,0
"MMRF_2267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966,0.966,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0,1.744,0,0,0,0,0
"MMRF_2238",0.999,0.999,0,0,0,0,0,0,0,0,0,0,0,0,-0.95,0,0.984,0.984,0,0,0.956,0,0,0,-0.997,0,0.996,0,0,-0.965,0,-0.909,0,0.936,0,0,0,0.948,0
"MMRF_2236",0,0,0,0,0.148,0.867,0,0,1.778,1.026,0.884,0.884,0.888,0.888,0,0,0.922,0.922,0,0,0,0,0,0,0,0,0.878,-0.104,-0.104,0.779,0.779,0,0,0.697,0.697,0,0,0,-0.14
"MMRF_2271",0,1.183,0,0,0,0,0,0,0,0,0,0,0,0,-0.326,0,0,0,0,0,0,0,0,0,-0.925,-0.912,0,0,-0.864,0,0,0,0,0,0,0,0,0,0
"MMRF_2272",0.337,0.337,0,0,0,0,0,0,0,0,0,0,0.851,0.851,-0.045,0.316,0,0,0,0,0.315,0.315,0,0,0,0,1.638,0,0,-0.981,-0.981,0,0,1.487,1.487,0,0,0,0
"MMRF_2279",0,0,0,0,0,0,0,0,0.992,0.992,0.895,-0.949,0.356,0.356,-0.035,0.949,0.895,0.895,0,0,1.508,1.508,0,0,0,0,1.811,-0.116,-0.116,-0.129,-0.129,0,0,1.592,1.592,0,0,0,-0.151
"MMRF_2329",0,0,0,0,0,0.855,0,0,0.934,0.934,0.924,0.924,0.9,0.9,0,0,0.905,0.905,0,0,0.899,0.899,0,0,0,0,0.898,0,0,0,0,-0.876,0,0.824,0.824,0,0,0.912,0
"MMRF_2269",0,0,0,0,0,0,0,0,0,0,0,-0.979,0,0,-1.005,0,0,0,0,0,0,0,0,-1,0,0,0,1.1,0,0,0,0,0,0,0,-1.006,-1.006,0,0
"MMRF_2291",0,0,0,0,0,0,0,0,0.786,0.786,0,0,0,0,-0.546,0,0,0.582,0,0,0.773,0.773,0,0,0,0,1.547,0,0,0,0,0,0,1.36,1.36,0,0,0,0
"MMRF_2290",0,2.025,0,0,0.983,0.983,0,0,0.978,0.978,0.598,0.598,0.975,0.975,-0.355,0,0.978,0.978,0,0,0,0,0,0,-0.999,0,1,0,-0.987,0.978,0.978,0.573,0.573,0.948,0.948,0,0,0,-0.993
"MMRF_2306",0,0,0,0,0,0,0.989,0.989,0,0,0,0,0.973,0.973,0,0,0.931,0.931,0,0,0,0.822,0,0,0,0,0,0,-0.913,0,0,0,0,0.87,0.87,0,0,0,0
"MMRF_2310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695,0,0,0,0,-0.99,0,-0.98,-0.985,0,0,-0.437,-0.949,0,0,0,0,0,0,0,0,0
"MMRF_2316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,0,0,-0.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2215",0,0,0,0,0.96,0.96,0,0,3.657,3.657,0,0,0,0,0,0,0.897,0.897,0,0.333,3.657,3.657,0,0,0,0,0,0,0,0,0,0,0,0.854,0.854,0,0,0,0
"MMRF_2297",0,0,0,0,0,0,0,0,0,0,0.158,0.158,0,0,0,0,0.18,0.18,0,0,0,0,0,0,-0.78,0,0,0,0,0,0,-0.802,-0.802,0.818,0.818,0,0,0,-0.943
"MMRF_2302",0.762,0.896,0,0,0.928,0.928,0,0,0.935,0.935,0.86,0,0.901,0.901,0,0,0.951,0.951,0,0,0.907,0.907,0,0,0,0,1.792,-0.127,-0.127,0.592,-0.115,0.927,0.927,0.831,0.831,-1.015,-0.145,0,-0.19
"MMRF_2325",0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.213,0,0,0,0,0,0,0,0,0,0,-0.183,0,0,0,0,0,0,0,0,0.428,0
"MMRF_2286",0.867,0.867,0,0,0,0.145,0,0,0,0,0.343,0.343,0,0,0,0,0.975,0.975,0,0,0,0,-0.166,0,0,0,0.852,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2301",-0.842,0,0,0,0,0,-0.12,-0.12,1.028,1.028,0,0,0,0,0,0,0.963,0.963,0,0,0.942,0.942,0,0,0,-0.87,0.848,0,0,0,0,0,0,0.783,0.783,0,0,0.976,-0.141
"MMRF_2330",0,0.43,0,0,0.875,0.875,0,0,0.813,0.953,0,0,0,0,0.941,0.941,0.963,0.815,0,0,0.784,0.784,0,0,0,0,0.808,-1.007,-1.007,3.379,3.657,0,0,0.477,0.477,-0.128,-0.229,0.914,-0.32
"MMRF_2326",-0.104,1.353,0,0,0.787,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.977,-0.988,0,0,0,0,0,-0.104,-0.104,0,0,-0.34,0,0,0
"MMRF_2331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.993,0,0,0,0,0,0,0,0,0.66,0,0,0,0,-0.101
"MMRF_2352",0,0,0,0,0,0,0,0,0,0,0,-0.943,0,0,0,0,0,0,0,0,0,0.984,-0.952,-0.952,-0.945,-0.94,0,0,0,0,0,0,0,-0.127,-0.127,0,0,0,-0.101
"MMRF_2353",0,0,0,0,0.999,0.999,0,0,0.943,0.943,0,0,0.942,0.942,-0.779,0,0.97,0.97,0,0,0,0,0,0,0,0,1.871,0,0,-0.111,-0.111,0,0,0.771,0.771,0,0,0,-0.106
"MMRF_2377",-0.55,0,0,0,0,0,-0.635,-0.635,0,0,0,0,0,0,0,0,0,0,-0.664,-0.664,0,0,0,0,-0.637,-0.656,0,-0.705,-1.293,0,0,-0.646,-0.646,-0.101,-0.101,-0.683,-0.683,-0.666,-0.72
"MMRF_2380",0,0,-0.377,-0.377,-0.329,-0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.951,-0.323,0,0,0,0,0,0,0,-0.101,-0.101,-0.37,-0.37,1.017,-0.922
"MMRF_2379",0,0,0,0,0.994,0.994,0,0,0.994,0.994,0,0,0.621,0,0,0,1.959,1.959,0,0,0,0,0,0,-0.347,-0.994,0.986,0,0,-0.395,0,0,0,0.881,0.881,0,0.132,0,0
"MMRF_2409",0,0,0,0,0.921,0.921,0,0,0.961,0.961,0.917,0.917,0,0,-0.716,0,0.937,0.937,0,0,1.006,1.006,0,0,0,-0.143,0.937,0,0,-0.101,-0.101,-0.385,0,0.705,0.705,0,-0.705,0.96,-0.132
"MMRF_2339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2367",0,0,0,0,0.655,0.655,0,0,0.663,0.663,0.579,0,0.601,0.601,0,0,0,0.501,0,0,0,0,0,0,0,0,0.612,0,0,-0.157,-0.157,0,0,0.324,0.324,0,0,0,-0.195
"MMRF_2373",0,0,0,0,-0.978,0.987,0,0,0,0,0,0,0.971,0.971,0,0,0,0,0,0,0,0,0,-0.981,0,0,0,0,0,0,0,0,0,-0.173,-0.173,0,-1.005,0,-0.125
"MMRF_2378",0,0,0,0,0,0.794,0,0,0,0,1.1,-0.366,0.169,0.326,-0.961,0,0.882,0.882,0,0,0.882,0.882,0,0,-0.984,0,1.803,-0.14,-0.14,-0.126,-0.126,0.929,0.929,0.742,0.742,0,0,0.884,-1.001
"MMRF_2394",-0.887,0,0,0,0,0,0,0,0,0,0.911,-0.046,0,0,0,0.817,0,0,0,0,0.251,0,0,0,-0.226,0,0,0,0,0,0,0,0,-0.104,-0.104,0,0,0,0
"MMRF_2224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.864,0.74,-0.131,0,-0.177,-0.177,0,0,0.283,-0.245,0,0,0,-0.265
"MMRF_2225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345,0,0,0,0,0,0,0.317,0.317,0,0,0,0,0,-0.317
"MMRF_2229",0,0,0,0,0.761,0.761,0,0,0,0,0.731,0.275,0,0,0,0,0,0,0,0,0,0,0,0,-0.751,0,0.744,0,0,0,0,0,0,0.645,0.645,0,0,0,0
"MMRF_2245",0,0.824,0,0,0.799,0.799,0,0,0.796,0.796,0.795,0,0.802,0.802,0,0,0.798,0.798,0,0,0,0,0,0,-0.817,0,0.81,0,0,0,0,0.769,0.769,0.783,0.783,0,0,0,0
"MMRF_2257",0,0,0,0,0,0,0.379,0.379,0.39,0.39,0,-0.373,0.372,0.372,0,0,0.757,0.757,0,0,0.383,0.383,0,0,0,0,0,0,0,0,0,0,0,0.299,0.299,0,0,0,0
"MMRF_2268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2273",0,0,0,0,0.722,0.722,0,0,0.728,0.728,0,0,0,0,0,0,0.717,0.717,0,0,0.69,0.69,0,0,0,0,1.359,0,0,0,0,0,0,1.262,1.262,0,0,0,0
"MMRF_2293",0,1.264,0,0,0,0.666,0,0,0.667,0.667,0,0,0.674,0.674,0,0,0.649,0.649,0,0.62,0,0,0,0,-0.421,0,0.656,0.599,0,0,0.63,1.332,1.332,0.585,0.585,0,0,0.649,0
"MMRF_2300",0,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.441,0,0,0,0,0,0,0,0,-0.107,-0.107,0,0,0,0
"MMRF_2305",0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,-0.551,0,0,0,0,0,0,0,0,0.407,0.407,0,0,0,0
"MMRF_2313",-0.584,-0.584,0,-0.536,0.115,0.115,-0.546,-0.546,0.139,0.139,0.129,0.129,0.108,0.108,-0.593,-0.593,0.819,0.15,-0.583,-0.583,0,1.185,-1.183,-0.566,-0.548,-0.578,0,-0.645,-1.261,0,0,0.112,0.112,0,0,-0.604,-0.604,0,-0.648
"MMRF_2317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,-0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569
"MMRF_2314",-0.837,0,0,0,0,0,0,0,1.023,1.023,0,0,0,0,0,0,0.969,0.969,0,0,0.913,0.913,0,0,0,0,0.913,-0.129,-1.012,-0.112,-0.112,0.968,0,0.698,0.698,0,0,1.852,-0.144
"MMRF_2328",0,0.781,0,0,0.713,0.713,0,0,0,0,0,0,0.7,0.7,-0.77,0,0,0,0,0,0,0,0,0,-0.835,0,0.807,0,0,0,0,0,-0.808,0.779,0.779,-0.812,0,0,-0.793
"MMRF_2335",0,0.82,0,0,0.849,0.849,0,0,0.856,0.856,0,0,0,0,0,0,0.848,0.848,0,0,1.602,1.602,0,0,0,0,1.636,0,0,0,0,0,0,0.68,0.68,0,0,0,-0.101
"MMRF_2336",-0.362,-0.285,0,0,0,0,-0.483,-0.483,0.546,0.546,0,0,0,0,0,0,0,0.512,-0.491,-0.491,0.567,0.567,-0.484,-0.484,-0.368,-0.485,0.562,-0.517,-0.517,-0.472,-0.472,0,0,0.536,0,0,0,-0.263,-0.407
"MMRF_2368",0,0,0,0,0.758,0.758,0.802,0.802,0.768,0.768,0,0,0,0,0,0,0.737,0.737,0.732,0.732,0.801,1.556,0,0,0,0.748,0.732,0.549,0.549,0.66,0.66,0,0,0.621,0.621,0,0,0,0
"MMRF_2399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.347,0,0,0,0,0,0,0,0,0,-0.245
"MMRF_2404",-0.824,0.907,0,0,0.932,0.932,-0.949,-0.949,0.477,0,0,0,0.919,0.919,-0.148,0,0.948,0.948,0,0,0,0,0.491,0,-0.933,0,0.981,0,0,0,0,0,0,0.954,0,0,0,0.917,0
"MMRF_2407",0,0,0,0,0.952,0.952,0,0,0.964,0.964,-0.913,-0.913,0,0,0,0,1.942,1.835,0,0,1.023,1.023,0,0,0,-0.92,0.944,0,0,0,0,0,0,0.792,0.792,0,0,0,-0.106
"MMRF_2412",0,0.992,0,0,0,0,0,0,1.991,1.991,0,0,0.979,0.979,0,0,0.978,0.978,0,0,0,0,0,0,-0.989,0,1.004,0,-0.805,0,0,0,0,0.835,0.835,0,0,0,0
"MMRF_2365",0,0.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156,-0.156,-0.558,-0.113,0,-0.143
"MMRF_2265",0,0.385,0,0,0,0,0,0,0,0,0,0,0.181,0.181,0,0,1.067,1.067,0,0,0,0,0,0,0,-0.846,0.863,0,0,0,0,0,0,0.718,0.718,0,-0.461,0,0
"MMRF_2364",-0.533,-0.533,0,0,0,0,-0.532,0,0,0,0,-0.513,0,0,-0.526,-0.526,0,0,-0.533,-0.533,0.559,0.559,-0.529,-0.529,-0.523,-0.518,0.559,-0.558,-0.558,-0.555,-0.555,-0.522,-0.522,0.484,0.484,0,0,0,-0.557
"MMRF_2400",0,0,0,0,0.987,0.987,0,0,0.953,0.953,0,0,0,0,0,0,1.459,1.459,0,0,0.981,0.981,0,0,0,0,1.977,0,-0.925,0,0,0,0,0.894,0.894,0,0,0,0
"MMRF_2419",0,0,0,0,0.976,0.976,0,0,1.18,1.18,0,0,0.953,0.953,-0.914,0,1.903,1.903,0,0,0.959,0.959,0,0,0,0,0.943,0,0,0.83,0.83,0,0,0.839,0.839,0,0,0,0
"MMRF_2440",0,0,0,0,0,0,0,0,0.976,0.976,0.843,0.843,0,0,0,0,1.145,1.145,0,0,0.976,0.976,0,0,-0.983,0,1.948,0,-0.781,0,0,0,0,0.857,0.857,0,0,1.778,-0.853
"MMRF_2453",0,0,0,0,0,0,0,0,0.833,0.833,0,0,0.828,0.828,-0.846,0,0.837,0.837,0,0,0.85,0.85,0,0,0,0,0.85,0,-0.84,0,0,0,0,0.818,0.818,-0.84,0,0.816,0
"MMRF_2455",0.947,0.947,0,0,0.967,0.967,0,0,0,0,0,0,0.957,0.957,-0.936,0.622,0.955,0.955,0,0,0,0,0,0,-0.982,0,0,0,-0.94,0,0,0.937,0.937,0,0,0,0,0,0
"MMRF_2459",0.948,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.936,0,0,0,0,0,0,0,0,-0.908,0,0,0,-0.888,0,0,0,0,-0.138,-0.138,0,0,0,-0.123
"MMRF_2422",0,0.901,0.914,0.914,0.987,0.987,0,0,0.977,0.977,0.917,0.917,-0.972,0,0,0,1.043,0.941,0,0,0,0,0,0,0,0,0.929,0,0,0,0,0,0,0.781,0.781,0,0,0.993,-0.284
"MMRF_2429",-0.947,0,0,0,0.983,0.983,0,0,0.991,0.991,0,-0.977,0.982,0.982,-0.993,0,0.961,0.961,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0.921,0.921,-0.941,0,0.977,0
"MMRF_2433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008,1.008,-0.134,-0.134,0,0,0,-0.108
"MMRF_2413",0,0.715,0,0,0.763,0.763,0,0,0.747,0.747,0.736,0.736,0.731,0.731,0,0,0.735,0.735,0.704,0.704,0,0,0,0,0,0,0.683,0,0,-0.7,-0.159,0.743,0.743,1.141,0.567,0,0,0,-0.169
"MMRF_2444",0,0,0,0,0,0,-0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.756,-0.612,0,0,0,0,0,0,0,-0.103,-0.103,0,0,0,0
"MMRF_2384",0,0.571,0,0,0,0,0,0,0,0,0,0,0.405,0,-0.453,0,0,0,0,0,0,0,0,0,-0.622,0,0,0,-0.458,0,0,0,0,-0.114,-0.114,0,0,0,-0.131
"MMRF_2452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0,0,0,0,-0.134,-0.134,0,0,0,0
"MMRF_2469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0.933,0,0,0,0,0,0,0,0,0,0,0,-0.146,-0.146,0,0,0,-0.148
"MMRF_2464",0,0,0,0,0.921,0.921,0,0,1.087,1.087,0,0,0.981,0.981,-0.739,0,1.941,1.941,0,0,0.921,0.921,0,0,0,0.788,1.908,-0.129,-0.129,-0.148,-0.148,-0.745,0,0.709,0.709,0,0,0,-0.179
"MMRF_2476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.997,0,0,0,0,-0.106,-0.106,0,0,-0.149,-0.149,0,0,0,-0.122
"MMRF_2478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
